title,upload_date,video_id,viewCount,likeCount,commentCount,durationMs
BLACKPINK WORLD TOUR [BORN PINK] FINALE IN SEOUL D-2 VIDEO,2023-09-14T07:00:02Z,aj7DXBqPxJA,3243740,403651,5035,PT34S
BLACKPINK WORLD TOUR [BORN PINK] FINALE IN SEOUL SPOT VIDEO #2,2023-09-07T01:00:01Z,6apPVWaLdfU,1591705,161638,5960,PT46S
BLACKPINK WORLD TOUR [BORN PINK] LOS ANGELES ENCORE HIGHLIGHT CLIP,2023-09-01T12:00:03Z,aXFYl36d_es,1785494,229587,3652,PT51S
BLACKPINK WORLD TOUR [BORN PINK] FINALE IN SEOUL MESSAGE VIDEO (ENG ver.),2023-09-01T05:00:04Z,nfjBdDET_xY,1071585,110306,4646,PT35S
BLACKPINK WORLD TOUR [BORN PINK] FINALE IN SEOUL MESSAGE VIDEO (KOR ver.),2023-09-01T05:00:00Z,L-Gx8ry3i20,528128,72353,2506,PT47S
[n월의 석진] Message from Jin : Jan 2024 💌,2023-12-31T15:04:01Z,XQlJRwoaU_E,1508120,392619,19464,PT2M45S
정국 (Jung Kook) ‘3D (feat. Jack Harlow)’ Promotions Sketch,2023-12-28T10:00:02Z,wEc8lmprRQs,1378538,203204,5573,PT13M47S
'BTS Monuments: Beyond The Star' EP. 5 & 6 Preview,2023-12-28T01:00:02Z,FyWjSOfRj3c,535515,117291,2412,PT1M11S
[#슈취타] 동갑내기 #IU & #슈가 다음 콜라보 당장 진행시켜‼️ - EP.24 #SUGA with #아이유,2023-12-26T13:48:40Z,t3Sj_uBCoEo,458534,89284,1074,PT58S
[슈취타] EP.24 SUGA with 아이유,2023-12-26T13:00:11Z,bCQR6VQWVkQ,3015850,258673,7410,PT43M51S
[EPISODE] j-hope @ Dick Clark’s New Year's Rockin' Eve 2023 - BTS (방탄소년단),2023-12-26T11:00:04Z,9oqUwz0UWFg,773920,148636,5488,PT17M54S
[BANGTAN BOMB] Jimin’s #ThisIsJimin Behind - BTS (방탄소년단),2023-12-23T11:00:01Z,2aSinq-1CNI,1719964,275291,8942,PT25M14S
'BTS Monuments: Beyond The Star' EP. 3 & 4 Preview,2023-12-21T01:00:02Z,bxgNWNR8zQU,882992,164231,3173,PT1M20S
#ThisIsJimin #StuckwithU #지민 #Jimin,2023-12-20T14:45:03Z,Qtfiq25vlQw,718367,179333,4527,PT1M24S
#ThisIsJimin #지민 #Jimin,2023-12-20T14:45:01Z,LLrBwQROFhM,1258074,282441,2891,PT31S
#ThisIsJimin #지민 #Jimin,2023-12-20T14:45:01Z,R9NglILj6bk,1087290,319123,3429,PT34S
#ThisIsJimin 여..여보세요?🤣 #지민 #Jimin,2023-12-20T14:45:00Z,7ORHb5kz45Y,1353329,317168,2482,PT35S
#ThisIsJimin 정말 많이 사랑합니다 우리 아미💜 #지민 #Jimin #자정각👀,2023-12-20T14:30:27Z,wgKH82cGKA4,1246122,277111,11017,PT1M7S
[슈취타] EP.24 TEASER,2023-12-19T13:00:03Z,DimZTdzszhg,1174025,173419,6880,PT1M15S
'BTS Monuments: Beyond The Star' Character Trailer,2023-12-19T01:00:01Z,puPyRex0WwY,1055768,210895,5376,PT1M30S
🎬 #StandingNextToYou Performance Video Behind the Scenes #부제1분1초매순간잘생긴정국 #장꾸전정국 #정국 #JungKook,2023-12-15T06:00:24Z,Y8WfayEHmWw,1863181,372447,3139,PT55S
